S. No	Notes	Self-assement == 257	Evidence
1	workload is spread over the whole team (one team member is often Xtimes more productive than the others...	3	All contributors have made equal contributions -- https://github.com/nainisha-b/MyExpenseBot/graphs/contributors
2	but nevertheless here is a track record that everyone is contributing a lot)	3	https://github.com/nainisha-b/MyExpenseBot/graphs/contributors
3	Number of commits	3	https://github.com/nainisha-b/MyExpenseBot/graphs/commit-activity
4	Number of commits: by different people	3	https://github.com/nainisha-b/MyExpenseBot/graphs/commit-activity
5	Issues reports: mentioned in the issues	 3	 https://github.com/nainisha-b/MyExpenseBot/issues
6	issues are being closed	3	https://github.com/nainisha-b/MyExpenseBot/issues?q=is%3Aissue+is%3Aclosed
7	DOI badge: exists	3	https://github.com/nainisha-b/MyExpenseBot/blob/Documentation/README.md
8	Docs: doco generated  format not ugly	3	https://github.com/nainisha-b/MyExpenseBot/tree/main/docs
9	Docs: what: point descriptions of each class/function (in isolation)	3	https://github.com/nainisha-b/MyExpenseBot/tree/main/docs
10	Docs: how: for common use cases X Y Z mini-tutorials showing worked examples on how to do X Y Z	2	video depicts the examples used.
11	Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing	3	https://github.com/nainisha-b/MyExpenseBot/tree/main/docs
12	Docs: short video, animated hosted on your repo. That convinces people why they want to work on your code.	3	https://github.com/nainisha-b/MyExpenseBot/blob/main/CONTRIBUTING.md
13	Use of version control tools	3	Git is used as a version control tool
14	Use of style checkers	2	Flake 8 - https://github.com/nainisha-b/MyExpenseBot/blob/main/.travis.yml
15	Use of code formatters.	2	 python visual studio code
16	Use of syntax checkers.	3	
17	Use of code coverage	3	https://github.com/nainisha-b/MyExpenseBot/blob/Documentation/README.md#code-coverage
18	other automated analysis tools	1	https://github.com/nainisha-b/MyExpenseBot/blob/main/.travis.yml
19	test cases exist	3	https://github.com/nainisha-b/MyExpenseBot/tree/main/test
20	test cases are routinely executed	3	https://github.com/nainisha-b/MyExpenseBot/tree/main/test#testing
21	the files CONTRIBUTING.md lists coding standards and lots of tips on how to extend the system without screwing things up	2	https://github.com/nainisha-b/MyExpenseBot/blob/main/CONTRIBUTING.md
13	Use of version control tools	3	Git is used as a version control tool.
22	issues are discussed before they are closed	3	https://github.com/nainisha-b/MyExpenseBot/issues?q=is%3Aissue+is%3Aclosed.
23	Chat channel: exists	0	
24	test cases:.a large proportion of the issues related to handling failing cases.	3	if a test case fails, open an issue and fix it
25	evidence that the whole team is using the same tools: everyone can get to all tools and files	3	Everyone is commiting to the sam erepo
26	evidence that the whole team is using the same tools (e.g. config files in the repo, updated by lots of different people)	3	visual studio code python
27	evidence that the whole team is using the same tools (e.g. tutor can ask anyone to share screen, they demonstrate the system running on their computer)	3	 
28	Evidence that the members of the team are working across multiple places in the code base	3	https://github.com/nainisha-b/MyExpenseBot/pulse
29	short release cycles	2	 The latest one doesnt have it-- https://github.com/nainisha-b/MyExpenseBot/releases/tag/v3.0
30	Documentation provides clear overview of software and uses	3	https://github.com/nainisha-b/MyExpenseBot/blob/main/README.md
31	Website and documentation clearly describe the type of user who should use your software	3	https://github.com/nainisha-b/MyExpenseBot/blob/main/README.md
32	Case studies to show how software is used by us	3	provided Gif in the README.md
33	Project name unique	3	It is made by using Expense + Telegram Bot = ExpenseBot, and the only currency being used is dollars
34	Project name free from trademark violations	3	We verified that MyExpenseBot has not been trademarked by any python repository or any US company.
35	Software available as a package that can be deployed without building it	3	
36	Software available for free	3	Can be used by anyone - https://github.com/nainisha-b/MyExpenseBot
37	Source code publicly available to download, either as a downloadable bundle or via access to a source code repository	3	It can be directly cloned
38	Software hosted in an established, third-party repository likeGitHub (https://github.com)	3	Yes
39	Documentation clearly available within your software	3	https://github.com/nainisha-b/MyExpenseBot/blob/Documentation/README.md
40	Documentation includes a quick start guide, that provides a short overview of how to use your software with some basic examples of use	3	https://github.com/nainisha-b/MyExpenseBot/blob/Documentation/README.md
41	Providing more extensive documentation, that gives a clear, step-by-step instructions on how to deploy and use our software	3	https://github.com/nainisha-b/MyExpenseBot/blob/Documentation/README.md
42	Comprehensive guide to all your software’s commands, functions and options	3	https://github.com/nainisha-b/MyExpenseBot/tree/main/docs
43	Troubleshooting information that describes the symptoms and step-by-step solutions for problems and error messages	0	NA
44	If your software can be used as a library, package or service by other software, do you provide comprehensive API documentation	0	Not found
45	Documentation stored under revision control with source code	3	https://github.com/nainisha-b/MyExpenseBot/blob/Documentation/README.md
46	Publishing the release history e.g. release data, version numbers, key features of each release etc. in your documentation	3	https://github.com/nainisha-b/MyExpenseBot/releases/tag/v3.0
47	Software describes how a user can get help with using your software	3	https://github.com/nainisha-b/MyExpenseBot/blob/Documentation/README.md
48	Our documentation describes what support we provide to users and developers	3	https://github.com/nainisha-b/MyExpenseBot/blob/Documentation/README.md
49	Project has an e-mail address or forum that is solely for supporting users	3	Yes we provided the emails of all the contributors.
50	E-mails to our support e-mail address are received by more than one person	3	yes  
51	Project have a ticketing system to manage bug reports and feature requests	3	https://github.com/nainisha-b/MyExpenseBot/issues
52	Project's ticketing system publicly visible to your users, so they can view bug reports and feature requests	3	https://github.com/nainisha-b/MyExpenseBot/issues
53	Software’s architecture and design is modular	3	
54	Software uses an accepted coding standard or convention	3	https://github.com/nainisha-b/MyExpenseBot/blob/main/CONTRIBUTING.md
55	Software allows data to be imported and exported using open data formats	1	To be added in future
56	Software allows communications using open communications protocols	3	To be added in future
57	Software cross-platform compatible	3	Works with python and telegram
58	Software adhere to appropriate accessibility conventions or standards	3	Yes
59	Documentation adheres to appropriate accessibility conventions or standards	2	Yes
60	Each source code releases a snapshot of the repository	2	 
61	Releases are tagged in the repository	3	Release are tagged
62	There is a branch of the repository that is always stable	3	the main branch is always stable
63	Back-up your repository	3	dev is created for backup
64	Provide publicly available instructions for building the software from the source code	3	https://github.com/nainisha-b/MyExpenseBot/blob/Documentation/README.md
65	Build, or package, the software using an automated tool	3	
66	Provide publicly-available instructions for deploying the software	3	
67	Documentation list all third-party dependencies	3	https://github.com/nainisha-b/MyExpenseBot/blob/main/requirements.txt
68	Documentation lists the version number for all third-party dependencies	3	https://github.com/nainisha-b/MyExpenseBot/blob/main/requirements.txt
69	Software list the web address, and licences for all third-party dependencies and say whether the dependencies are mandatory or optional	2	Dependencies in requirements.txt
70	Download dependencies using a dependency management tool or package manager	3	Requirements can be downloaded by pip
71	Tests that can be run after your software has been built or deployed to show whether the build or deployment has been successful	3	https://github.com/nainisha-b/MyExpenseBot/tree/Documentation/test
72	Automated test suite for your software	3	https://github.com/nainisha-b/MyExpenseBot/tree/Documentation/test
73	Framework to periodically (e.g. nightly) run your tests on the latest version of the source code	3	yes we implemeneted the features in a such away that it is integrated with the existing version of code.
74	Using continuous integration, automatically running tests whenever changes are made to your source code	1	N/A
75	Test results publicly visible	3	yes
76	Manually-run tests documented	3	yes
77	Project has resources (e.g. blog, Twitter, RSS feed, Facebook page, wiki, mailing list) that are regularly updated with information about your software	3	yes telegram
78	Documentation states how many projects and users are associated with your project	2	yes
79	Provide success stories on your website	0	Future scope
80	Listing the important partners and collaborators in our documentation	3	We added the collaborators to the documentation
81	Listing the project's publications on our website or link to a resource where these are available	2	
82	Listing third-party publications that refer to the software on our website or link to a resource where these are available	2	
83	Users can subscribe to notifications to changes to your source code repository	2	Each contributor gets an email when any issues they are assigned gets an update.
84	Since the software is developed as an open source project (and, not just a project developing open source software), do we have a governance model	1	NA
85	Do we accept contributions (e.g. bug fixes, enhancements, documentation updates, tutorials) from people who are not part of your project?	3	https://github.com/nainisha-b/MyExpenseBot/blob/main/CONTRIBUTING.md
86	Do you have a contributions policy	3	https://github.com/nainisha-b/MyExpenseBot/blob/main/CONTRIBUTING.md
87	Is your contributions' policy publicly available?	3	https://github.com/nainisha-b/MyExpenseBot/blob/main/CONTRIBUTING.md
88	Do contributors keep the copyright/IP of their contributions	3	https://github.com/nainisha-b/MyExpenseBot/blob/main/CONTRIBUTING.md
89	Website and documentation clearly states the copyright owners of your software and documentation	3	https://github.com/nainisha-b/MyExpenseBot/blob/main/CONTRIBUTING.md
90	Do each of your source code files include a copyright statement	3	Can be seen in all the python codes
91	The website and documentation clearly state the licence of your software	3	https://github.com/nainisha-b/MyExpenseBot/blob/main/LICENSE
92	Software released under an open source licence	3	https://github.com/nainisha-b/MyExpenseBot/blob/main/LICENSE
93	Software released under an OSI-approved open-source licence	3	https://github.com/nainisha-b/MyExpenseBot/blob/main/LICENSE
94	Source code files include a licence header	3	https://github.com/nainisha-b/MyExpenseBot/blob/main/LICENSE--MIT LICENSE
95	Recommended citation for your software	2	
96	Documentation includes a project roadmap (a list of project and development milestones for the next 3, 6 months)	3	https://github.com/nainisha-b/MyExpenseBot
97	Documentation describe how the project is funded, and the period over which funding is guaranteed?	1	NA
98	Do you make timely announcements of the deprecation of components, APIs, etc.	1	NA
